id,item_id,version_group_id,language_id,flavor_text
1,1,5,9,"The best BALL that
catches a POKéMON
without fail."
2,1,6,9,"The best BALL that
catches a POKéMON
without fail."
3,1,7,9,"The best BALL with the ultimate
performance. It will catch any wild
POKéMON without fail."
4,1,8,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
5,1,9,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
6,1,10,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
7,1,11,5,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un
Pokémon sauvage."
8,1,11,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
9,1,14,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
10,1,15,1,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
11,1,15,3,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
12,1,15,5,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
13,1,15,6,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
14,1,15,7,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
15,1,15,8,"La Poké Ball dalle prestazioni migliori:
cattura qualsiasi Pokémon selvatico senza
mai fallire."
16,1,15,9,"The best Poké Ball with the ultimate
level of performance. With it, you will
catch any wild Pokémon without fail."
17,1,15,11,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
18,2,5,9,"A better BALL with
a higher catch rate
than a GREAT BALL."
19,2,6,9,"A better BALL with
a higher catch rate
than a GREAT BALL."
20,2,7,9,"A very high-grade BALL that offers
a higher POKéMON catch rate than
a GREAT BALL."
21,2,8,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
22,2,9,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
23,2,10,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
24,2,11,5,"Une Ball ultraperformante dont le taux
de réussite est supérieur à celui de la
Super Ball."
25,2,11,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
26,2,14,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
27,2,15,1,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
28,2,15,3,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
29,2,15,5,"Une Ball ultraperformante dont le taux de
réussite est supérieur à celui de la Super Ball."
